% Edge sensor logfile log_20240216_143102.437/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 287 374 408 450 468 436 401 304
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1708090262.9682 0 0.000 0.000 0.0000
1708090262.9756 0 0.000 0.000 0.0000
1708090262.9831 0 0.000 0.000 0.0000
1708090262.9909 0 0.000 0.000 0.0000
1708090262.9996 0 0.000 0.000 0.0000
1708090263.0080 0 0.000 0.000 0.0000
1708090263.0159 0 0.000 0.000 0.0000
1708090263.0238 0 0.000 0.000 0.0000
1708090263.0322 0 0.000 0.000 0.0000
1708090263.0401 0 0.000 0.000 0.0000
1708090263.0475 0 0.000 0.000 0.0000
1708090263.0560 0 0.000 0.000 0.0000
1708090263.0633 0 0.000 0.000 0.0000
1708090263.0724 0 0.000 0.000 0.0000
1708090263.0800 0 0.000 0.000 0.0000
1708090263.0880 0 0.000 0.000 0.0000
1708090263.0956 0 0.000 0.000 0.0000
1708090263.1044 0 0.000 0.000 0.0000
1708090263.1118 0 0.000 0.000 0.0000
