% Edge sensor logfile log_20240216_143120.412/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 287 374 408 450 468 436 401 304
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1708090280.9441 0 0.000 0.000 0.0000
1708090280.9508 0 0.000 0.000 0.0000
1708090280.9594 0 0.000 0.000 0.0000
1708090280.9674 0 0.000 0.000 0.0000
1708090280.9757 0 0.000 0.000 0.0000
1708090280.9831 0 0.000 0.000 0.0000
1708090280.9910 0 0.000 0.000 0.0000
1708090280.9990 0 0.000 0.000 0.0000
1708090281.0077 0 0.000 0.000 0.0000
1708090281.0157 0 0.000 0.000 0.0000
1708090281.0232 0 0.000 0.000 0.0000
1708090281.0310 0 0.000 0.000 0.0000
1708090281.0390 0 0.000 0.000 0.0000
1708090281.0475 0 0.000 0.000 0.0000
1708090281.0553 0 0.000 0.000 0.0000
1708090281.0633 0 0.000 0.000 0.0000
1708090281.0712 0 0.000 0.000 0.0000
1708090281.0801 0 0.000 0.000 0.0000
1708090281.0875 0 0.000 0.000 0.0000
